title,profitable_budget,profitable_revenue
Toy Story,3.0E7,3.73554048E8
Jumanji,6.5E7,2.62797248E8
Father of the Bride Part II,0.0,7.6578912E7
Heat,6.0E7,1.87436816E8
Sudden Death,3.5E7,6.4350172E7
GoldenEye,5.8E7,3.52194048E8
The American President,6.2E7,1.07879496E8
Balto,0.0,1.1348324E7
Casino,5.2E7,1.16112376E8
Sense and Sensibility,1.65E7,1.35E8
Four Rooms,4000000.0,4300000.0
Ace Ventura: When Nature Calls,3.0E7,2.12385536E8
Leaving Las Vegas,3600000.0,4.98E7
Now and Then,1.2E7,2.74E7
Dangerous Minds,0.0,1.8E8
Twelve Monkeys,2.95E7,1.6884E8
Babe,3.0E7,2.54134912E8
Dead Man Walking,1.1E7,3.9363636E7
"Cry, the Beloved Country",0.0,676525.0
Mortal Kombat,1.8E7,1.2219592E8
To Die For,2.0E7,2.1284514E7
How To Make An American Quilt,1.0E7,2.357413E7
Pocahontas,5.5E7,3.46079776E8
The Usual Suspects,6000000.0,2.3341568E7
Home for the Holidays,0.0,1.7519168E7
Mr. Holland's Opus,0.0,1.06269968E8
Lawnmower Man 2: Beyond Cyberspace,0.0,2409225.0
Friday,3500000.0,2.8215918E7
From Dusk Till Dawn,1.9E7,2.5836616E7
Kicking and Screaming,0.0,718490.0
Bed of Roses,0.0,1.9030692E7
Black Sheep,0.0,32.0
Nick of Time,8169363.0,8175346.0
Vampire in Brooklyn,1.4E7,1.98E7
Broken Arrow,5.0E7,1.50270144E8
Happy Gilmore,1.2E7,4.12051E7
The Bridges of Madison County,2.4E7,1.82016624E8
Muppet Treasure Island,0.0,3.4327392E7
Braveheart,7.2E7,2.1E8
Taxi Driver,1300000.0,2.8262574E7
Rumble in the Bronx,7500000.0,3.2392048E7
Anne Frank Remembered,0.0,1.0
Boomerang,4.0E7,7.01E7
Flirting with Disaster,7000000.0,1.4702438E7
The Birdcage,3.1E7,1.8526056E8
Bad Boys,1.9E7,1.41407024E8
Apollo 13,5.2E7,3.5523792E8
Rob Roy,2.8E7,3.1596912E7
Batman Forever,1.0E8,3.36529152E8
Congo,5.0E7,1.52022096E8
Crimson Tide,5.3E7,1.573872E8
Crumb,0.0,3174695.0
Desperado,7000000.0,2.5405444E7
Die Hard: With a Vengeance,9.0E7,3.66101664E8
First Knight,5.5E7,1.27600432E8
Judge Dredd,9.0E7,1.1349348E8
Jury Duty,0.0,1.7014652E7
Living in Oblivion,500000.0,1148752.0
Mighty Morphin Power Rangers: The Movie,1.5E7,6.6E7
The Net,2.2E7,1.10627968E8
Nine Months,0.0,6.9660736E7
Party Girl,150000.0,472370.0
The Prophecy,8.0,16.0
Smoke,7000000.0,8349430.0
Species,3.5E7,1.13374104E8
Total Eclipse,0.0,339889.0
"To Wong Foo, Thanks for Everything! Julie Newmar",0.0,4.7774192E7
Under Siege 2: Dark Territory,6.0E7,1.0432408E8
A Walk in the Clouds,2.0E7,5.0012508E7
Waterworld,1.75E8,2.64218224E8
Before the Rain,0.0,763847.0
Before Sunrise,2500000.0,5535405.0
Billy Madison,1.0E7,2.6488734E7
Boys on the Side,2.1E7,2.345E7
Clerks,27000.0,3151130.0
Disclosure,5.5E7,2.14015088E8
Eat Drink Man Woman,0.0,7294403.0
Exit to Eden,0.0,6841570.0
A Goofy Movie,0.0,3.5348596E7
Gordy,0.0,3992809.0
Hoop Dreams,700000.0,7830611.0
Houseguest,1.05E7,2.6325256E7
Interview with the Vampire,6.0E7,2.23664608E8
Star Wars,1.1E7,7.7539802E8
Like Water for Chocolate,2000000.0,2.1665468E7
Legends of the Fall,3.0E7,1.6063888E8
Milk Money,0.0,1.813766E7
Miracle on 34th Street,0.0,4.6264384E7
Murder in the First,0.0,1.7381942E7
Nell,3.1E7,1.06683816E8
Natural Born Killers,3.4E7,5.0282768E7
Once Were Warriors,0.0,2201126.0
Outbreak,5.0E7,1.89859552E8
Pulp Fiction,8000000.0,2.13928768E8
Panther,0.0,6834525.0
Priest,0.0,4176932.0
The Specialist,4.5E7,1.70362576E8
Stargate,5.5E7,1.96567264E8
The Santa Clause,2.2E7,1.8983336E8
The Shawshank Redemption,2.5E7,2.8341468E7
Suture,0.0,102780.0
Star Trek: Generations,3.8E7,1.2E8
Tales from the Hood,6000000.0,1.2E7
Tommy Boy,0.0,3.2648672E7
While You Were Sleeping,1.7E7,1.82057024E8
Double Happiness,0.0,759393.0
Muriel's Wedding,3000000.0,1.5119639E7
Ace Ventura: Pet Detective,1.5E7,1.07217392E8
"The Adventures of Priscilla, Queen of the Desert",0.0,1.122067E7
Clear and Present Danger,6.2E7,2.15887712E8
The Client,4.5E7,1.17615208E8
The Crow,1.5E7,9.4E7
Cobb,0.0,1007583.0
The Flintstones,4.6E7,3.416312E8
Forrest Gump,5.5E7,6.7794541E8
Four Weddings and a Funeral,6000000.0,2.54700832E8
I Like It Like That,0.0,1777020.0
I Love Trouble,4.5E7,6.1947268E7
"The Wonderful, Horrible Life of Leni Riefenstahl",0.0,449707.0
The Lion King,4.5E7,7.8824179E8
New Nightmare,1.4E7,1.809018E7
The Mask,2.3E7,3.51583392E8
The Naked Gun 33⅓: The Final Insult,3.0E7,5.11326E7
Reality Bites,1.15E7,2.007985E7
Speed,3.0E7,3.5044816E8
Timecop,2.7E7,1.01646584E8
True Lies,1.15E8,3.788824E8
When a Man Loves a Woman,0.0,5.002196E7
A Low Down Dirty Shame,1.0E7,2.9392418E7
Jason's Lyric,7000000.0,2.085152E7
Street Fighter,3.5E7,9.942352E7
Highlander: The Final Dimension,2.6E7,3.68E7
In the Mouth of Madness,8000000.0,8946600.0
The Air Up There,1.708E7,2.10115E7
Bad Girls,0.0,1.5240435E7
Beverly Hills Cop III,5.0E7,1.19208992E8
Blown Away,0.0,3.0156002E7
Boxing Helena,0.0,1796389.0
Cabin Boy,0.0,3662459.0
Carlito's Way,3.0E7,3.6516012E7
Clean Slate,0.0,7355425.0
Cliffhanger,7.0E7,2.55000208E8
Dave,0.0,6.3E7
Dazed and Confused,6900000.0,7993039.0
Demolition Man,5.7E7,1.59055776E8
Flesh and Bone,0.0,9488998.0
The Firm,4.2E7,2.70248352E8
Free Willy,2.0E7,1.53698624E8
The Fugitive,4.4E7,3.68875776E8
Guilty as Sin,0.0,2.2886222E7
Hard Target,1.8E7,7.418968E7
Hot Shots! Part Deux,2.5E7,1.33752824E8
0,0.0,5.331753
In the Army Now,0.0,2.8881266E7
The Inkwell,0.0,8880705.0
Judgment Night,0.0,1.2136938E7
Jurassic Park,6.3E7,9.2009997E8
Last Action Hero,8.5E7,1.37298496E8
M. Butterfly,0.0,1499795.0
Malice,0.0,4.6405336E7
The Man without a Face,0.0,2.4760338E7
Menace II Society,3500000.0,2.79E7
Executive Decision,5.5E7,1.21969216E8
Mrs. Doubtfire,2.5E7,4.41286208E8
The Next Karate Kid,1.2E7,1.5826984E7
A Perfect World,3.0E7,1.35130992E8
Philadelphia,2.6E7,2.06678432E8
The Piano,7000000.0,1.167E8
Poetic Justice,1.4E7,2.7515786E7
The Program,0.0,2.30422E7
The Puppet Masters,0.0,8638072.0
The Ref,1.1E7,1.1439193E7
The Remains of the Day,1.15E7,2.3237912E7
Rising Sun,0.0,1.07198792E8
Robin Hood: Men in Tights,2.0E7,3.5739756E7
Ruby in Paradise,800000.0,1001437.0
Rudy,1.2E7,2.2750364E7
Schindler's List,2.2E7,3.21365568E8
Searching for Bobby Fischer,0.0,7266383.0
Short Cuts,0.0,6110979.0
Sirens,0.0,7770731.0
Sleepless in Seattle,2.1E7,2.27799888E8
Sliver,4.0E7,1.163E8
Blade Runner,2.8E7,3.3139618E7
Son in Law,0.0,3.64482E7
