title,profitable_budget,profitable_revenue
The Pianist,3.5E7,1.20072576E8
Confessions of a Dangerous Mind,3.0E7,3.3013804E7
Blue Collar Comedy Tour: The Movie,0.0,604856.0
Just Married,1.8E7,1.01564936E8
National Security,0.0,5.0097948E7
City of God,3300000.0,3.064177E7
Band of Outsiders,120000.0,182857.0
Breaking Up,0.0,11690.0
Pépé le Moko,0.0,153936.0
Secret Admirer,0.0,8622757.0
0,0.0,0.506363
Final Destination 2,2.6E7,9.0426408E7
The Recruit,0.0,1.01191888E8
Evil Under the Sun,0.0,6110000.0
Forced Vengeance,0.0,6660333.0
The Last Unicorn,0.0,6455530.0
Missing,0.0,1.4E7
The Missionary,0.0,7241180.0
Paradise,0.0,5588800.0
Shoot the Moon,0.0,8100000.0
Six Pack,0.0,2.0225988E7
Trail of the Pink Panther,0.0,9056073.0
0,0.0,0.329373
How to Lose a Guy in 10 Days,5.0E7,1.7737144E8
Shanghai Knights,5.0E7,8.8323488E7
Daredevil,7.8E7,1.79179712E8
The Jungle Book 2,2.0E7,1.3568E8
Amandla! A Revolution in Four-Part Harmony,0.0,405331.0
He Loves Me... He Loves Me Not,0.0,5126264.0
Dennis the Menace,3.5E7,1.17270768E8
10 to Midnight,4520000.0,7175592.0
The Black Stallion,2700000.0,3.7799644E7
A Patch of Blue,800000.0,6792000.0
Old School,2.4E7,8.7055352E7
Cradle 2 the Grave,2.5E7,5.648956E7
Mr. North,0.0,1221366.0
Ten,0.0,105656.0
Tears of the Sun,7.0E7,8.5632456E7
Irreversible,0.0,792.0
Bend It Like Beckham,3500159.0,7.657864E7
King of Kings,5037000.0,1.4483352E7
Green Card,0.0,2.9888236E7
Journey to the Center of the Earth,0.0,1.0E7
Ringu,1200000.0,8690429.0
Ringu 2,6000000.0,1.8686644E7
Salaam Bombay!,0.0,2080046.0
Sweet Charity,8000000.0,2.0E7
Dreamcatcher,6.8E7,7.571544E7
View from the Top,0.0,1.5614E7
The Robe,4100000.0,3.6E7
The Core,6.0E7,7.4208264E7
Raising Victor Vargas,800000.0,2816116.0
Stevie,0.0,97000.0
Day for Night,0.0,17808.0
Square Dance,0.0,225358.0
Phone Booth,1.3E7,9.7837136E7
Anger Management,7.5E7,1.95745824E8
Ghosts of the Abyss,1.3E7,1.7040872E7
House of 1000 Corpses,7000000.0,1.6829544E7
Chasing Papi,0.0,6126237.0
Straw Dogs,2200000.0,3251794.0
The Andromeda Strain,6500000.0,1.2376563E7
Brainscan,0.0,4352094.0
Undercover Blues,0.0,1.2416686E7
Scenes from a Mall,3000000.0,9563393.0
Stella,0.0,2.0240128E7
Identity,3.0E7,9.0259536E7
The Lizzie McGuire Movie,1.7E7,5.5534456E7
Daddy Day Care,6.0E7,1.64433872E8
A Chorus Line,0.0,1.4202899E7
Gunfight at the O.K. Corral,0.0,1.175E7
The Matrix Reloaded,1.5E8,7.3859968E8
Pokémon Heroes: Latios and Latias,0.0,2.086792E7
The In-Laws,0.0,2.0440628E7
Finding Nemo,9.4E7,9.4033555E8
The Italian Job,6.0E7,1.76070176E8
Wrong Turn,1.26E7,2.8650576E7
Capturing the Friedmans,0.0,3117985.0
2 Fast 2 Furious,7.6E7,2.36350656E8
Whale Rider,8000000.0,4.14E7
Once a Thief,0.0,4303351.0
The Electric Horseman,0.0,6.1801972E7
Two Mules for Sister Sara,0.0,5050000.0
This Boy’s Life,0.0,4104962.0
Music Box,0.0,6263883.0
Divine Trash,0.0,39842.0
Quai des Orfèvres,0.0,152961.0
Defence of the Realm,0.0,750000.0
Opportunity Knocks,0.0,1.1359129E7
0,0.0,1.171051
Dumb and Dumberer: When Harry Met Lloyd,1.9E7,3.9267516E7
The Satanic Rites of Dracula,0.0,544476.0
28 Days Later,5000000.0,8.2719888E7
Mr. Baseball,0.0,2.0E7
The Advocate,0.0,667.0
Hulk,1.37E8,2.4536048E8
"Legally Blonde 2: Red, White & Blonde",4.5E7,1.2491484E8
