title,profitable_budget,profitable_revenue
Love & Friendship,3000000.0,1.4016568E7
Elections Day 2,0.0,4314688.0
Sing Street,4000000.0,1.3624522E7
The National Shotgun,0.0,1622164.0
The Huntsman: Winter's War,1.15E8,1.6460216E8
Neighbors 2: Sorority Rising,3.5E7,1.0875852E8
Aadukalam,4000000.0,6000000.0
Visaranai,325000.0,1600000.0
0,0.0,0.47608
Too Late,0.0,7000.0
Fan,1.6E7,2.9251596E7
The Man Who Knew Infinity,0.0,1.1472454E7
The Lonely Lady,0.0,1.0
Money Monster,2.7E7,9.3282608E7
Nine Lives,3.0E7,5.7814444E7
Don't Think Twice,0.0,4417667.0
Barbershop: The Next Cut,2.0E7,5.5030052E7
The Choice,1.0E7,1.8730892E7
Our Kind of Traitor,0.0,9930095.0
Finding Dory,2.0E8,1.02857088E9
,0.902847,9.0
The Boss,2.9E7,7.8636256E7
The Angry Birds Movie,7.3E7,3.49779552E8
Love Is in the Air,0.0,7636.0
0,0.0,0.400818
Arrambam,9200000.0,2.1E7
Yennai Arindhaal,7900000.0,1.6E7
Mankatha,6100000.0,2.8E7
Indru Netru Naalai,620000.0,1400000.0
Veeram,5900000.0,1.9E7
A Man Who Was Superman,0.0,3848034.0
Mother's Day,2.5E7,4.841816E7
0,0.0,0.232553
Being Charlie,0.0,30400.0
Synchronicity,0.0,4505.0
0,0.0,0.66202
Hanna K.,0.0,114247.0
The Nice Guys,5.0E7,6.2788216E7
Singam,2200000.0,9700000.0
Saamy,1.0,3.0
7Aum Arivu,1.6E7,9.89E7
Anniyan,0.0,8500000.0
Sky Of Love,0.0,4.4038E7
The Family Fang,0.0,262921.0
Flight Crew,1.0E7,2.7305572E7
Ajab Prem Ki Ghazab Kahani,0.0,2.6E7
Alvin and the Chipmunks: The Road Chip,0.0,2.33755552E8
The Shallows,1.7E7,1.1910076E8
Delhi Dance,0.0,30292.0
A Little Night Music,200000.0,286000.0
0,0.0,0.139254
Kick,2.2E7,5.5E7
Aitraaz,3500000.0,9250000.0
Paws,137731.0,1778391.0
0,0.0,0.189735
The BFG,1.4E8,1.83345584E8
Sausage Party,1.9E7,1.40705328E8
Captain Fantastic,5000000.0,5879736.0
Neruda,0.0,939101.0
0,0.0,0.33594
The Meddler,3200000.0,4267218.0
Finding Mr. Right,4881000.0,8.135E7
Now You See Me 2,9.0E7,3.34901344E8
Once I Was a Beehive,0.0,732655.0
Café Society,3.0E7,4.3763248E7
"I, Daniel Blake",0.0,260354.0
Bad Guys Always Die,0.0,5000.0
0,0.0,0.730663
Swiss Army Man,3000000.0,4210454.0
Before I Wake,0.0,3295624.0
Teenage Mutant Ninja Turtles: Out of the Shadows,1.35E8,2.4562384E8
The Darkness,4000000.0,1.0898293E7
Inside Men,0.0,6.2E7
Popstar: Never Stop Never Stopping,0.0,9496130.0
The Conjuring 2,4.0E7,3.20170016E8
Pelé: Birth of a Legend,0.0,27312.0
0,0.0,0.105848
Ghostbusters,1.44E8,2.29147504E8
Cell,0.0,1133031.0
Complete Unknown,0.0,187145.0
Fasten Your Seatbelts,0.0,5260000.0
Central Intelligence,5.0E7,2.16972544E8
Udta Punjab,5980000.0,1.49E7
"The Life and Death of 9413, a Hollywood Extra",0.0,97.0
Genius,0.0,5681622.0
El Estudiante,0.0,170000.0
Jason Bourne,1.2E8,4.15484928E8
Raman Raghav 2.0,521873.0,1013926.0
The Legend of Tarzan,1.8E8,3.56743072E8
The Purge: Election Year,1.0E7,1.1858788E8
Mike and Dave Need Wedding Dates,3.3E7,7.7068248E7
Ice Age: Collision Course,1.05E8,4.0857904E8
Lights Out,4900000.0,1.48868832E8
Pete's Dragon,6.5E7,1.43695344E8
Goat,0.0,23020.0
Absolutely Fabulous: The Movie,0.0,3.7915972E7
The Adderall Diaries,0.0,13191.0
The Red Turtle,0.0,921974.0
0,0.0,0.206335
Satanic,0.0,252.0
Nerve,1.9E7,8.5241496E7
Sully,6.0E7,2.38470032E8
Slack Bay,0.0,112481.0
Till Luck Do Us Part,0.0,1672940.0
Sultan,1.04E7,1.02E8
La caliente niña Julietta,0.0,591696.0
Charlie,1900000.0,5900000.0
Prince of Broadway,0.0,20400.0
Kismat Konnection,4180000.0,1.1E7
War Dogs,4.0E7,8.623452E7
To Steal from a Thief,6700000.0,1.2118661E7
0,0.0,1.040173
Batman: The Killing Joke,3500000.0,3775000.0
Lights of New York,75000.0,1200000.0
Bad Moms,2.0E7,1.8393608E8
Hell or High Water,1.2E7,3.7589296E7
The Democratic Terrorist,0.0,3142763.0
Kingsglaive: Final Fantasy XV,0.0,269980.0
Don't Breathe,9900000.0,1.57100848E8
47 Meters Down,5500000.0,4.4235024E7
Gabo: The Creation of Gabriel Garcia Marquez,0.0,19337.0
Hillary's America: The Secret History of the Democratic Party,5000000.0,1.3E7
The Cherry Orchard,5.0,135.0
The Edge of Seventeen,9000000.0,1.8803648E7
95 Miles to Go,0.0,2203.0
Grandmaster,120000.0,130000.0
Viral,0.0,551760.0
0,0.0,2.187639
Lift,0.0,123182.0
Mechanic: Resurrection,4.0E7,1.25729632E8
The Magnificent Seven,9.0E7,1.6236064E8
Skiptrace,3.2E7,5.85E7
Moonlight,4000000.0,6.5046688E7
Big Fish & Begonia,4531653.0,8.4552248E7
A Conspiracy of Faith,5210000.0,5900000.0
Masterminds,2.5E7,2.92E7
Pelli Choopulu,200000.0,5500000.0
Kubo and the Two Strings,6.0E7,6.9929544E7
Bridget Jones's Baby,3.5E7,2.11952416E8
The Light Between Oceans,2.0E7,2.5956112E7
Morgan,8000000.0,8810591.0
Deepwater Horizon,1.1E8,1.21790376E8
Miss Peregrine's Home for Peculiar Children,1.1E8,2.96485728E8
The Girl on the Train,4.5E7,1.73185856E8
Middle School: The Worst Years of My Life,8500000.0,1.9985196E7
The Accountant,4.4E7,1.55160048E8
High Strung,0.0,53447.0
Kabali,1.87E7,7.4E7
Mohenjo Daro,1.505E7,1.618E7
0,0.0,0.512355
