title,profitable_budget,profitable_revenue
Shrek the Third,1.6E8,7.9895814E8
Once,160000.0,2.0710512E7
Pirates of the Caribbean: At World's End,3.0E8,9.61E8
Bug,4000000.0,8059140.0
Mr. Brooks,2.0E7,4.1637264E7
"I'm a Cyborg, But That's OK",0.0,4354510.0
Dragon Tiger Gate,0.0,8685526.0
The Breed,0.0,1675484.0
Cashback,0.0,2294291.0
Hostel: Part II,1.02E7,3.561952E7
Paranoid Park,0.0,486021.0
Fantastic 4: Rise of the Silver Surfer,1.3E8,2.89047776E8
Death Proof,2.5E7,2.5037896E7
Robot Monster,16000.0,1000000.0
The Valet,0.0,2.9326868E7
Swoon,250000.0,340147.0
Alan & Naomi,0.0,259.0
Still Smokin,0.0,1.5543E7
Sicko,9000000.0,2.4538512E7
Popular Music,2224000.0,2.8E7
A Mighty Heart,1.6E7,1.8928872E7
1408,2.5E7,9.46796E7
High Road to China,0.0,2.84E7
Live Free or Die Hard,1.1E8,3.83531456E8
Transformers,1.5E8,7.0970976E8
Harry Potter and the Order of the Phoenix,1.5E8,9.3821274E8
I Now Pronounce You Chuck & Larry,8.5E7,1.86072208E8
The Mean Season,0.0,4300000.0
First Snow,0.0,382267.0
Manufactured Landscapes,0.0,240239.0
When the Wind Blows,0.0,5274.0
The Piano Tuner of Earthquakes,0.0,27953.0
Hot Rod,0.0,1.4334401E7
Stardust,7.0E7,1.35560032E8
The Simpsons Movie,7.5E7,5.27068864E8
No Reservations,2.8E7,9.2601048E7
The Bourne Ultimatum,7.0E7,4.42824128E8
Czech Dream,0.0,17393.0
Superbad,2.0E7,1.21463224E8
Joshua,0.0,719968.0
The War Tapes,0.0,254190.0
Rush Hour 3,1.4E8,2.5802224E8
Balls of Fury,0.0,4.1098064E7
The Kingdom,7.0E7,8.665856E7
Daddy Day Camp,6000000.0,1.8197398E7
War,2.5E7,4.0452644E7
Illegal Tender,0.0,3106835.0
The Nanny Diaries,2.0E7,4.77381E7
Halloween,1.5E7,8.0253904E7
19776159,0.0,6.653254
Behind the Mask: The Rise of Leslie Vernon,0.0,69136.0
"Watch Out, We're Mad",0.0,3.678278E7
Atonement,3.0E7,1.29266064E8
"4 Months, 3 Weeks and 2 Days",852510.0,1185783.0
In the Valley of Elah,2.3E7,2.954179E7
Rang De Basanti,2200000.0,1.1502151E7
Eastern Promises,5.15E7,5.5112356E7
Resident Evil: Extinction,4.5E7,1.48412064E8
Good Luck Chuck,2.5E7,5.9192128E7
Into the Wild,1.5E7,5.6255144E7
The Game Plan,2.2E7,1.47880544E8
Feast of Love,0.0,5741608.0
Dan in Real Life,2.5E7,6.8377856E7
We Own the Night,2.1E7,5.4926888E7
Elizabeth: The Golden Age,5.5E7,7.423756E7
Michael Clayton,2.5E7,9.2991832E7
Sleuth,0.0,342835.0
30 Days of Night,3.0E7,7.5505976E7
Gone Baby Gone,1.9E7,3.46197E7
Control,0.0,8159508.0
Black Sheep,0.0,4947717.0
The Edge of Heaven,3800000.0,1.7804564E7
Why Did I Get Married?,1.5E7,5.518472E7
Saw IV,1.0E7,1.3935264E8
For the Bible Tells Me So,0.0,312751.0
King of California,0.0,1027699.0
American Gangster,1.0E8,2.6646504E8
Bee Movie,1.5E8,2.87594592E8
Before the Devil Knows You're Dead,1.8E7,2.5005256E7
The Diving Bell and the Butterfly,1.4E7,1.9777648E7
No Country for Old Men,2.5E7,1.716E8
August Rush,2.5E7,6.6122024E7
No Mercy for the Rude,3.0,4.0
Lions for Lambs,3.5E7,6.3215872E7
Beowulf,7.0E7,1.95735872E8
Mr. Magorium's Wonder Emporium,0.0,6.9474664E7
Rails & Ties,0.0,22136.0
Smiley Face,0.0,8768.0
12,4000000.0,7537453.0
The Mist,1.8E7,5.7096192E7
Om Shanti Om,9100000.0,3.7707444E7
The Golden Compass,1.8E8,3.7223488E8
I Am Legend,1.5E8,5.8534899E8
Alvin and the Chipmunks,6.0E7,3.61366624E8
The Orphanage,0.0,4.4E7
Juno,7500000.0,2.31411584E8
My Blueberry Nights,1.0E7,2.1786738E7
,0.953421,9.0
