title,profitable_budget,profitable_revenue
,4.499903,38.0
Fanaa,5300000.0,2.2175908E7
Atomic Blonde,3.0E7,9.0007944E7
Dunkirk,1.0E8,5.1987696E8
Bairavaa,0.0,1.7E7
Confidential Assignment,8520000.0,5.61E7
Yu-Gi-Oh!: The Dark Side of Dimensions,0.0,1015339.0
Chasing Trane,0.0,393970.0
Pokémon 4Ever: Celebi - Voice of the Forest,0.0,2.8023564E7
Transformers: The Last Knight,2.6E8,6.0494214E8
Porn in the Hood,0.0,103504.0
"Mommies, Happy New Year!",2000000.0,1.1666088E7
Pregnant,2000000.0,8000000.0
Moka,0.0,126463.0
Good Time,0.0,1.0893246E7
0,0.0,0.442975
One Hundred Steps,0.0,1805884.0
2:22,0.0,422.0
FC Venus,2196531.0,2411594.0
0,0.0,0.978521
The Dark Tower,6.0E7,7.1E7
And Here's What's Happening to Me,0.0,14353.0
The Emoji Movie,5.0E7,6.691394E7
Wind River,1.1E7,1.84770208E8
Baasha,0.0,1.5E7
Sivaji: The Boss,1.2E7,1.9E7
Force Majeure,0.0,1359497.0
0,0.0,0.967131
Apartment 18,0.0,320395.0
50656,0.0,0.436028
Savages,800000.0,1328612.0
0,0.0,0.072811
0,0.0,0.630944
