title,profitable_budget,profitable_revenue
St. Vincent,1.3E7,5.4837232E7
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2.8E7,1.00654152E8
Left Behind,1.6E7,1.9682924E7
The Rewrite,0.0,4453524.0
Ouija,5000000.0,1.03590272E8
Nightcrawler,8500000.0,3.8697216E7
Big Hero 6,1.65E8,6.5210547E8
Marshland,4000000.0,5169755.0
The Book of Life,5.0E7,9.7437104E7
"Love, Rosie",0.0,4439431.0
Young Detective Dee: Rise of the Sea Dragon,0.0,7.2287784E7
"Like Sunday, Like Rain",0.0,28208.0
Ex Machina,1.5E7,3.6869416E7
Before I Disappear,0.0,8251.0
Mr. Turner,0.0,5405500.0
The Stoker,0.0,183640.0
Kung Fu Dunk,1.0E7,2.2896728E7
Cohen and Tate,0.0,64227.0
Everybody Dies But Me,0.0,235432.0
,0.118509,2.0
Wolf Creek 2,8000000.0,9630444.0
Walking With Dinosaurs,8.0E7,1.2654652E8
0,0.0,0.433841
You're Not You,0.0,11486.0
Life Partners,0.0,8265.0
Remington and the Curse of the Zombadings,22361.0,721651.0
Stalingrad,3.0E7,6.812952E7
Dead Snow 2: Red vs. Dead,0.0,37473.0
The Inhabited Island 2: Rebellion,0.0,5873871.0
The Hanoi Hilton,0.0,760000.0
Serena,0.0,176391.0
The Imitation Game,1.4E7,2.33555712E8
Labyrinth of Lies,0.0,794452.0
The Hunger Games: Mockingjay - Part 1,1.25E8,7.5210022E8
Exodus: Gods and Kings,1.4E8,2.68031824E8
Wild Tales,0.0,2.7007072E7
Ski Patrol,0.0,8533973.0
Dumb and Dumber To,4.0E7,1.69837008E8
The Legend of Sarila,0.0,1.5E7
One Chance,0.0,1.0900434E7
The Theory of Everything,1.5E7,1.23726688E8
"Moscow, Belgium",560000.0,1500000.0
Dolphin Tale 2,3.6E7,5.2424532E7
When the Game Stands Tall,1.5E7,3.0127964E7
Aashiqui 2,1300000.0,1.6E7
ABCs of Death 2,0.0,7171.0
,3.000275,41.0
20th Century Boys - Chapter 1: Beginning of the End,2.0E7,3.1244858E7
V/H/S: Viral,0.0,2756.0
When Marnie Was There,0.0,561085.0
Song of the Sea,0.0,857522.0
Beyond the Lights,7000000.0,1.4618727E7
Paulette,0.0,29494.0
0,0.0,1.579853
The Care Bears Adventure in Wonderland,0.0,2608000.0
Jurassic World,1.5E8,1.51352883E9
Citizenfour,0.0,3003169.0
Horrible Bosses 2,4.2E7,1.0767036E8
0,0.0,0.515824
Lucia,79000.0,170000.0
Penguins of Madagascar,1.32E8,3.73552096E8
Black or White,9000000.0,2.1571188E7
'71,0.0,1625847.0
Still Alice,5000000.0,4.3884652E7
Paddington,5.5E7,2.59207232E8
Maze Runner: The Scorch Trials,6.1E7,3.11256928E8
0,0.0,4.934518
0,0.0,0.007069
The Protector 2,0.0,3302463.0
,0.244887,5.0
The Hobbit: The Battle of the Five Armies,2.5E8,9.5601978E8
Unbroken,6.5E7,1.63442944E8
Black Sea,0.0,1171559.0
Fat Pizza,400000.0,7888102.0
,0.058367,1.0
Khumba,2.0E7,2.7187376E7
Wild,1.5E7,5.250154E7
Top Five,0.0,2.5434292E7
Big Eyes,1.0E7,2.8883512E7
Into the Woods,5.0E7,2.12902368E8
"Men, Women & Children",0.0,461162.0
Kingsman: The Secret Service,8.1E7,4.14351552E8
Night at the Museum: Secret of the Tomb,1.27E8,3.49424288E8
Special ID,0.0,12666.0
Madea's Big Happy Family,2.5E7,5.3213632E7
Seventh Son,9.5E7,1.14178616E8
Gloss,2500000.0,4684165.0
Annie,6.5E7,1.33821816E8
PK,1.3E7,1.2E8
Final: The Rapture,0.0,92100.0
Get Crazy,0.0,1645711.0
Drishyam,750000.0,1.2E7
Natural Selection,0.0,55282.0
Ghost Team One,0.0,9195.0
Chappie,4.9E7,1.04399552E8
The Salt of the Earth,0.0,1059804.0
"No Retreat, No Surrender 2: Raging Thunder",0.0,108154.0
Taken 3,4.8E7,3.25771424E8
Terminator Genisys,1.55E8,4.40603552E8
One Bright Shining Moment,0.0,15504.0
The Woman in Black 2: Angel of Death,1000000.0,2.6501324E7
Super Capers,0.0,30955.0
"Pancho, el perro millonario",0.0,2483130.0
Forbidden Kingdom,2.6E7,3.459212E7
0,0.0,0.843535
0,0.0,6.125484
Nurse 3-D,10.0,1.0E7
A Cry in the Wild,0.0,1.0
"Tad, the Lost Explorer",1.05E7,2.3E7
Red Army,0.0,694600.0
The Single Moms Club,0.0,1.6337881E7
I Am Ali,0.0,7205.0
It Follows,2000000.0,1.4674076E7
The Berlin File,9000000.0,4.8965208E7
China Girl,0.0,1262091.0
The Squeeze,0.0,2228951.0
The Bride,0.0,3558669.0
Tim,600000.0,809000.0
Skateland,0.0,14944.0
Solomon and Sheba,5000000.0,1.22E7
Ping Pong Summer,0.0,25781.0
0,0.0,0.217456
InSight,0.0,17011.0
Kandahar,7000000.0,1.5172408E7
Torrente 5: Operación Eurovegas,9272437.0,1.1672363E7
Mad Max: Fury Road,1.5E8,3.78858336E8
Insidious: Chapter 3,1.0E7,1.04303848E8
Star Wars: The Force Awakens,2.45E8,2.06822362E9
Warcraft,1.6E8,4.33677184E8
Avengers: Age of Ultron,2.8E8,1.40540365E9
Pirates of the Caribbean: Dead Men Tell No Tales,2.3E8,7.94192E8
Ant-Man,1.3E8,5.19311968E8
Fantastic Four,1.2E8,1.679776E8
Guardians of the Galaxy Vol. 2,2.0E8,8.6341613E8
Captain America: Civil War,2.5E8,1.15330445E9
Doctor Strange,1.65E8,6.777184E8
El robobo de la jojoya,0.0,3370574.0
Soccer Days,0.0,1.2212123E7
Love at First Fight,0.0,23598.0
Sankofa,1000000.0,2691899.0
Russkies,0.0,2189047.0
0,0.0,1.622053
0,0.0,0.784854
0,0.0,1.589347
My Way,2.7563396E7,2.919333E7
Out of Bounds,0.0,5099316.0
The Derby Stallion,750000.0,4000000.0
0,0.0,0.001307
The Snow Queen,7000000.0,1.24E7
0,0.0,0.975622
0,0.0,0.695095
Illegal,0.0,404.0
0,0.0,0.178743
Midnight Crossing,0.0,1328001.0
The Gambler,2.5E7,3.9171128E7
0,0.0,0.572061
The Dry Land,0.0,12000.0
0,0.0,0.365754
Riding Shotgun,0.0,1400000.0
Pure Country 2: The Gift,0.0,133771.0
0,0.0,0.413716
Parrish,1500000.0,4200000.0
The River Rat,0.0,1142944.0
FBI: Frikis buscan incordiar,0.0,928391.0
Fifty Shades of Grey,4.0E7,5.7100614E8
0,0.0,0.06509
Big Sur,0.0,33621.0
Strange Magic,0.0,1.3603453E7
The DUFF,8500000.0,4.3528632E7
The Remaining,0.0,1169603.0
Borsalino,0.0,3.0
Of Horses and Men,10.0,11.0
Project Almanac,1.2E7,3.224824E7
Brooklyn,1.1E7,6.207614E7
Don Verdean,0.0,31309.0
The End of the Tour,0.0,3002884.0
I'll See You in My Dreams,0.0,7449681.0
Mississippi Grind,0.0,130541.0
Mistress America,0.0,2500431.0
A Walk in the Woods,8000000.0,3.5991088E7
True Story,0.0,4719695.0
Sleeping with Other People,0.0,3214116.0
The Hunting Ground,0.0,411115.0
Eden,0.0,65460.0
The D Train,447524.0,771317.0
Results,0.0,104507.0
Z for Zachariah,0.0,121461.0
All Together,0.0,7211180.0
[REC]⁴ Apocalypse,0.0,190000.0
Last Days in Vietnam,0.0,161.0
Battletruck,1000000.0,3000000.0
Italiano medio,1816720.0,4541800.0
Party Girl,0.0,472370.0
0,0.0,0.565378
0,0.0,0.329979
Beer for My Horses,0.0,666045.0
0,0.0,0.072955
The Hateful Eight,4.4E7,1.55760112E8
0,0.0,1.025364
0,0.0,0.591107
Paper Towns,1.2E7,8.5512304E7
Naan Kadavul,0.0,7500000.0
Sällskapsresan II - Snowroller,0.0,8646157.0
The Boy Next Door,4000000.0,5.2425856E7
0,0.0,0.038963
Knight of Cups,0.0,566006.0
45 Years,0.0,4250507.0
Victoria,0.0,3191998.0
Slam Dance,0.0,406881.0
Standing Ovation,0.0,531826.0
Crimson Peak,5.5E7,7.4679824E7
The Song,0.0,1009620.0
Broken Bridges,0.0,251775.0
Julia,0.0,2710.0
The Package,0.0,1469.0
Focus,5.01E7,1.5396296E8
Merchants of Doubt,0.0,192400.0
Every Thing Will Be Fine,0.0,8034.0
The SpongeBob Movie: Sponge Out of Water,7.4E7,3.11594048E8
Demonic,3000000.0,3387000.0
The Second Best Exotic Marigold Hotel,1.0E7,8.5978264E7
