adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",,31140,tt0267817,ja,Party 7,"Seven characters, introduced at the start of the film, get thrown together into the same hotel room: a thief who's stolen a suitcase of money from the mob, his ex-girlfriend, her obsessive boyfriend, the mob soldier sent to retrieve the briefcase, another mobster sent to kill them, master voyeur Captain Banana and his new apprentice, The Mister Yellow. Who will end up with the money?",0.476429,/osXWru4BLkH81MbiZ3MKq18qgOu.jpg,"[{'name': 'Tohokushinsha Film', 'id': 12387}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2000-09-27,0,104.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Party 7,False,5.5,5
False,,0,"[{'id': 35, 'name': 'Comedy'}]",http://www.aftertheballmovie.com/,309924,tt3717016,en,After the Ball,"\"After the Ball, a retail fairy tale set in the world of fashion. Kate's dream is to design for couturier houses. Although she is a bright new talent, Kate can't get a job. No one trusts the daughter of Lee Kassell, a retail guru who markets clothes \"\"inspired\"\" by the very designers Kate wants to work for. Who wants a spy among the sequins and stilettos? Reluctantly",Kate joins the family business where she must navigate around her duplicitous stepmother and two wicked stepsisters. But with the help of a prince of a guy in the shoe department her godmother's vintage clothes and a shocking switch of identities,Kate exposes the evil trio,"saves her father's company -- and proves that everyone can wear a fabulous dress.\"",4.257785,/xjWP9swY6yJjs23HDFKynOFy9zB.jpg,"[{'name': 'Myriad Pictures', 'id': 738}, {'name': 'Don Carmody Productions', 'id': 4253}, {'name': 'TVA Films', 'id': 12567}, {'name': 'Pacific Northwest Pictures', 'id': 45909}, {'name': 'Martinelli Films', 'id': 95983}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2015-02-27,161820,101.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Fairytales are always in fashion,After the Ball
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",,245685,tt2062622,en,Postman Pat: The Movie,"\"Like always, Postman Pat is happily going about his duty delivering letters and parcels around the fictional town of Greendale. One day, auditions for the TV talent show, \"\"You're the One\"\"",are held in Greendale,which Pat manages to pass. With Pat required to be away from Greendale whilst participating in the contest,various Patbot 3000 robots are deployed to take Pat's postal duties. This soon turns out to be an evil plot to take over the world,"which Pat must now stop.\"",2.975178,/pHtxB0azqCEVGVs6M1MX4vkALpj.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2014-05-23,0,88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,
False,,0,"[{'id': 18, 'name': 'Drama'}]",,275696,tt2123884,en,3 Nights in the Desert,"Three former band mates enter a cave after hearing it has the power to give them what they need. As unsettling desires rise to the surface, they all wonder if the cave has real power.",1.787325,/mvUvfgoN5U9U3riyqRXHiswtDGo.jpg,"[{'name': 'New Artists Alliance', 'id': 5124}, {'name': 'Caliber Media Company', 'id': 11049}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-02-06,0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One last chance to make it right.,3 Nights in the Desert,False,4.4,20
False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",,208756,tt2196564,en,Pune 52,A Neo-Noir Marathi film on a detective who's looking for an opportunity to bring a change in his monotonous life...,0.131459,/7zsJmY9D7cj3dvtDBV7UFmMOt5Q.jpg,[],[],2013-01-18,0,121.0,[],Released,Find the hero within you,Pune 52,False,6.0,1
False,,750,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.95ers.com,142391,tt1824904,en,95ers: Time Runners,"Time is unraveling, paradoxes are everywhere, and strangers with terrifying technologies are on the hunt. A thrilling, original, ultra indie full-length sci-fi movie that is the story of Sally Biggs, an FBI agent who has the power to rewind time. Her scientist husband has disappeared mysteriously, and the closer she gets to finding him, the more dangerous her life becomes. To save the future and her loved ones, Sally must enter a battlefield she never knew existed. Fortunately, she's a 95er. Surrounded by bizarre timespace paradoxes and hunted by terrifying forces from the future, Sally must discover the earth-shattering truth behind it all before her very being fades out of reality.",1.489131,/prOsOoEX6nvZeGmvo3rNIsdnPjL.jpg,"[{'name': 'Koan Films', 'id': 10890}, {'name': 'Space Ace Media', 'id': 23694}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-02-14,0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Time does not exist. Only choice.,95ers: Time Runners,False,4.2,24
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",http://www.88themovie.com/,307479,tt3465074,en,88,"A young woman comes to in a roadside diner with no idea where she is or how she got there. Split between two timelines, she gets taken on a violent journey as she seeks out the person responsible for her lover's death.",7.073602,/4eFz8mlIhbTHOU6gXBZVttvJawV.jpg,"[{'name': 'WANGO Films', 'id': 40157}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2015-01-06,0,88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There are two sides to every story.,88,False,5.1,40
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",,287793,tt2469760,en,Cam2Cam,"A serial killer terrorizes a woman searching for the remains of her dead sister, trapping her in a web of horror and erotic intrigue.",1.120312,/687o4jlzWscfgqvUD6YZJOwe5z8.jpg,[],"[{'iso_3166_1': 'AT', 'name': 'Austria'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'TH', 'name': 'Thailand'}]",2014-08-22,0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"While you are watching them, they are watching you.",Cam2Cam,False,3.8,14
False,,1500000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,29797,tt0858437,en,Ed Gein: The Butcher of Plainfield,"\"Inspired by the true story of one of the most gruesome killers in American history. Now, years after inspiring \"\"Psycho's\"\" Norman Bates","\"\"The Silence Of The Lambs'\"\" Buffalo Bill and \"\"The Texas Chainsaw Massacre's\"\" Leatherface","the story of real life serial killer Ed Gein is told once again. Nicknamed \"\"The Butcher Of Plainfield","\"\" Gein was responsible for a rash of gory murders that sent shock waves through his rural Wisconsin town",and across America,"in the late 1950's. Prepare to enter the evil mind and twisted world of \"\"The Butcher Of Plainfield.\"\"\"",0.759707,/zzbNKEH8pLypYv0uDfGqih38L3z.jpg,"[{'name': 'Feifer Worldwide', 'id': 10377}, {'name': 'North American Entertainment', 'id': 60345}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-03-06,0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,42554,tt1480649,en,Accused at 17,A teenager is accused of murdering a classmate and claims that she was framed by her best friend. Her mother must try to find the truth.,0.477627,/59q3M41hwIJBfYGn3qf6ObRghGX.jpg,"[{'name': 'Lifetime', 'id': 3431}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",2009-12-05,0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Accused at 17,False,4.9,5
